recId,driverId,frame,precedingId,precedingXVelocity,v,delta_v,s,idm_ga,idm_mle,idm_de,s_star_ga,s_star_mle,s_star_de,XAcceleration
1,11,109,10,22.87,23.87,1.0,10.6,-0.7558,-0.7558,-0.7558,30.8136,30.8136,30.8136,-0.03
1,11,110,10,22.86,23.86,1.0,10.57,-0.7599,-0.7599,-0.7599,30.8016,30.8016,30.8016,-0.02
1,11,111,10,22.85,23.86,1.01,10.52,-0.7774,-0.7774,-0.7774,30.9703,30.9703,30.9703,-0.0
1,11,112,10,22.84,23.86,1.02,10.49,-0.7919,-0.7919,-0.7919,31.139,31.139,31.139,0.01
1,11,113,10,22.83,23.86,1.03,10.45,-0.8083,-0.8083,-0.8083,31.3077,31.3077,31.3077,0.03
1,11,114,10,22.82,23.87,1.05,10.41,-0.8356,-0.8356,-0.8356,31.6576,31.6576,31.6576,0.04
1,11,115,10,22.81,23.87,1.06,10.36,-0.8545,-0.8545,-0.8545,31.8264,31.8264,31.8264,0.06
1,11,116,10,22.8,23.87,1.07,10.33,-0.8701,-0.8701,-0.8701,31.9951,31.9951,31.9951,0.07
1,11,117,10,22.79,23.87,1.08,10.28,-0.8897,-0.8897,-0.8897,32.1639,32.1639,32.1639,0.09
1,11,118,10,22.78,23.88,1.1,10.24,-0.919,-0.919,-0.919,32.5143,32.5143,32.5143,0.11
1,11,119,10,22.77,23.88,1.11,10.19,-0.9395,-0.9395,-0.9395,32.6831,32.6831,32.6831,0.12
1,11,120,10,22.76,23.88,1.12,10.14,-0.9604,-0.9604,-0.9604,32.852,32.852,32.852,0.14
1,11,121,10,22.75,23.89,1.14,10.1,-0.9915,-0.9915,-0.9915,33.2028,33.2028,33.2028,0.15
1,11,122,10,22.74,23.9,1.16,10.07,-1.0211,-1.0211,-1.0211,33.5538,33.5538,33.5538,0.17
1,11,123,10,22.73,23.9,1.17,10.02,-1.0435,-1.0435,-1.0435,33.7228,33.7228,33.7228,0.18
