recId,driverId,rmse,error_percent,T,a,b,v0
1,547,75.74170173280153,38.58629919745424,0.786,5.0,3.717,41.667
1,558,44.687087583512174,22.235205554588106,5.0,3.008,0.1,30.79
1,574,0.3813023057820143,0.19167809750785914,1.203,5.0,3.143,38.256
1,580,42.86576673496762,21.02060913004624,4.309,0.1,0.832,36.664
1,583,27.956224551120737,13.851671952058108,3.218,1.095,2.795,41.667
1,584,15.996240515268552,7.899390285864992,4.118,0.1,0.264,41.214
1,601,4.550193366158507,2.2676579422143632,2.283,1.995,0.217,38.625
1,603,1.7107854675740153,0.8401206155354124,0.5,0.1,5.0,41.667
1,613,0.46724451952504314,0.23240067804800593,1.335,0.1,4.809,30.925
1,632,4.668051809892235,2.302473590415065,1.423,1.014,1.424,27.222
1,641,49.403787043022284,24.472169911333022,0.622,5.0,5.0,41.667
1,651,95.17266683564947,47.28795294401581,0.501,5.0,5.0,41.667
1,652,12.689821491220528,6.373236888218949,0.5,5.0,5.0,41.667
1,679,0.44856698690886654,0.21657684373967262,1.466,5.0,4.791,41.021
1,692,8.582077905251584,4.239040525288229,1.296,0.46,1.788,41.617
1,698,4.340270618051556,2.098647589983053,2.124,2.104,4.907,38.039
1,699,0.8606768890874118,0.42506178723299254,0.522,0.486,5.0,33.819
1,715,4.070186594479144,1.947579492569942,0.62,1.733,5.0,41.667
1,718,20.50993702367104,10.048298394661112,0.5,5.0,5.0,41.667
1,728,0.6674641236568273,0.3300597590388626,2.544,0.153,3.398,40.92
1,731,4.291195300743061,2.1196863648818414,0.959,3.31,0.366,42.377
1,736,0.6419802741705968,0.31138493196794453,0.5,0.1,5.0,41.667
1,739,0.6354400867516392,0.3170156345849136,2.654,1.646,3.721,27.885
1,745,27.738141959176335,13.517960595613676,1.758,2.337,4.783,41.667
1,762,11.958578108725185,6.003852024456841,0.5,0.1,5.0,41.667
1,783,40.321041450386154,19.385244410550825,1.484,0.1,0.1,37.541
1,791,5.867709733362958,2.886432418741847,2.297,1.0,1.047,40.328
1,799,5.132240627722932,2.517440999807031,1.105,1.096,0.305,41.486
1,803,0.44121722479814596,0.21815010219584527,0.661,0.299,3.101,40.861
1,814,35.6610448906641,17.48216780607414,5.0,1.334,0.297,32.21
1,842,29.088678507957805,14.374643169991717,4.799,0.1,0.882,41.665
1,860,20.427298641490673,10.012778361746804,1.186,5.0,2.211,40.775
1,884,5.3725698238070105,2.6461233497985104,1.039,1.023,4.805,25.551
1,912,0.625779019647455,0.31429756245033147,0.5,0.168,5.0,40.256
1,914,0.1319012601765446,0.06618395359936838,2.236,0.553,4.998,40.166
1,935,0.3477763890972172,0.17337592517559106,0.5,0.163,5.0,39.783
1,939,7.846112241835554,3.8692566781913196,4.993,0.392,0.174,32.537
1,945,0.7680890151601092,0.37832004976339767,0.514,1.656,5.0,40.17
1,952,14.247054517341128,7.055918715237102,4.536,0.756,3.622,34.099
1,970,1.2557769858615744,0.6172998533656309,1.597,0.274,4.359,30.641
1,977,30.160868545409965,15.249523559882995,0.5,5.0,5.0,41.667
1,1007,0.3130683180240555,0.15385919870424042,0.5,0.1,4.698,41.64
